temperature,p_token_1,p_token_2,p_token_3
0.2,0.9932623568421745,0.006692549116589288,4.5094041236354885e-05
0.34,0.9473359038604996,0.05002271802970606,0.002641378109794467
0.48,0.8771788821571488,0.10922146487374405,0.013599652969107092
0.62,0.8070817418653029,0.16085795819977539,0.032060299934921724
0.76,0.746142148085975,0.20016192328289056,0.05369592863113433
0.9,0.695622649979667,0.22899409853365954,0.07538325148667334
1.04,0.6542529454443394,0.2501236965956003,0.09562335796006038
1.18,0.6203020834253682,0.26580128044513035,0.11389663612950147
1.32,0.592214830687467,0.27763122412795843,0.13015394518457454
1.46,0.5687419874841732,0.2867169165121821,0.1445410960036448
1.6,0.5489178501988426,0.2938145526370056,0.15726759716415167
1.74,0.532003923432674,0.2994472336335681,0.16854884293375788
1.88,0.5174348567477692,0.3039820771480066,0.17858306610422414
2.02,0.5047750115100175,0.30768092964044697,0.18754405884953557
2.16,0.49368566797256164,0.3107336306366674,0.19558070139077088
2.3,0.48390082900065384,0.31328000592889793,0.20281916507044814
2.44,0.4752094772391362,0.3154245931483919,0.20936592961247186
2.58,0.4674425399381528,0.31724664545820064,0.21531081460364648
2.72,0.46046325501212926,0.3188070306045053,0.22072971438336533
2.86,0.4541599934913196,0.3201530603016032,0.22568694620707716
3.0,0.4484408637990407,0.32132191985276876,0.23023721634819053
