compute_budget,model_multiplier_from_optimum,model_size,data_size,constraint_product,parameter_term,data_term,weighted_parameter_margin,weighted_data_margin,excess_loss,relative_regret,analytic_N_exponent,analytic_D_exponent
10000.0,0.25,21.89742513066086,456.6746976108146,10000.0,0.35015986241182945,0.18001556340251093,0.11905435322002202,0.05040435775270306,0.5301754258143404,0.09551914051014943,0.45161290322580644,0.5483870967741935
10000.0,0.5,43.79485026132172,228.3373488054073,10000.0,0.2766407570617414,0.218573976194821,0.09405785740099208,0.061200713334549885,0.4952147332565624,0.023278697068795484,0.45161290322580644,0.5483870967741935
10000.0,1.0,87.58970052264344,114.16867440270364,10000.0,0.218557626623936,0.2653914037576364,0.07430959305213825,0.0743095930521382,0.48394903038157244,0.0,0.45161290322580644,0.5483870967741935
10000.0,2.0,175.17940104528688,57.08433720135182,10000.0,0.17266955405572054,0.32223688480494256,0.05870764837894499,0.09022632774538393,0.4949064388606631,0.022641658090421624,0.45161290322580644,0.5483870967741935
10000.0,4.0,350.35880209057376,28.54216860067591,10000.0,0.13641608100504576,0.39125837709355726,0.046381467541715564,0.10955234558619605,0.527674458098603,0.09035130762129029,0.45161290322580644,0.5483870967741935
1000000.0,0.25,175.23419449397457,5706.648767312278,1000000.0,0.17265119504470577,0.08875917969014926,0.05870140631519997,0.024852570313241798,0.26141037473485507,0.09551914051014943,0.45161290322580644,0.5483870967741935
1000000.0,0.5,350.46838898794914,2853.324383656139,1000000.0,0.13640157662789915,0.10777094192287999,0.04637653605348571,0.0301758637384064,0.24417251855077915,0.023278697068795706,0.45161290322580644,0.5483870967741935
1000000.0,1.0,700.9367779758983,1426.6621918280696,1000000.0,0.10776288053933841,0.13085492636919657,0.03663937938337506,0.03663937938337505,0.23861780690853499,0.0,0.45161290322580644,0.5483870967741935
1000000.0,2.0,1401.8735559517966,713.3310959140348,1000000.0,0.08513712751147531,0.15888338219536902,0.028946623353901607,0.044487347014703325,0.24402050970684433,0.022641658090421846,0.45161290322580644,0.5483870967741935
1000000.0,4.0,2803.747111903593,356.6655479570174,1000000.0,0.06726184790744558,0.19291538987700013,0.022869028288531497,0.05401630916556004,0.2601772377844457,0.09035130762129029,0.45161290322580644,0.5483870967741935
100000000.0,0.25,1402.3120406497476,71310.80465776075,100000000.0,0.08512807534550261,0.04376394924061503,0.028943545617470888,0.01225390578737221,0.12889202458611765,0.09551914051014965,0.45161290322580644,0.5483870967741935
100000000.0,0.5,2804.624081299495,35655.40232888037,100000000.0,0.06725469632236529,0.05313796328887927,0.0228665967496042,0.014878629720886197,0.12039265961124457,0.023278697068795706,0.45161290322580644,0.5483870967741935
100000000.0,1.0,5609.24816259899,17827.701164440186,100000000.0,0.05313398851149452,0.06451984319252901,0.018065556093908138,0.018065556093908124,0.11765383170402353,0.0,0.45161290322580644,0.5483870967741935
100000000.0,2.0,11218.49632519798,8913.850582220093,100000000.0,0.041978045988154744,0.07833966354633931,0.014272535635972614,0.02193510579297501,0.12031770953449406,0.022641658090421624,0.45161290322580644,0.5483870967741935
100000000.0,4.0,22436.99265039596,4456.925291110047,100000000.0,0.03316439052194295,0.09511961872319433,0.011275892777460604,0.026633493242494415,0.12828400924513728,0.09035130762129029,0.45161290322580644,0.5483870967741935
