step,learning_rate,decay_factor,q_before,q_after,weight_rms_after,instantaneous_equilibrium_q,recursion_residual
0,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
1,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
2,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
3,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
4,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
5,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
6,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
7,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
8,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
9,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
10,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
11,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
12,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
13,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
14,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
15,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
16,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
17,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
18,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
19,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
20,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
21,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
22,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
23,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
24,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
25,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
26,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
27,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
28,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
29,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
30,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
31,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
32,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
33,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
34,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
35,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
36,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
37,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
38,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
39,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
40,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
41,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
42,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
43,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
44,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
45,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
46,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
47,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
48,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
49,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
50,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
51,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
52,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
53,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
54,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
55,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
56,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
57,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
58,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
59,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
60,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
61,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
62,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
63,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
64,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
65,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
66,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
67,0.01,0.999,0.2001000500250152,0.2001000500250152,0.44732544084258746,0.2001000500250152,0.0
